Other Answer,,,,,,,,,,,
1,What is difference between Descriptive and Inferential Statistics ?,,,,,,,,,,
Ans :,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2,Define the following terms :,,,,,,,,,,
(a),Population : ,,,,,,,,,,
(b),Sample :,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
3,"Define mean, median and mode. How are they different from each other ?",,,,,,,,,,
Ans,,,,,,,,,,,
,,,,,,,,,,,
4,What is a Random Variable ? What are types ?,,,,,,,,,,
Ans :,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Practical,,,,,,,,,,,
Q2. :,An investment analyst wants to assess the relationship between the stock ,,,,,,,,,,
,prices of two companies to identify potential investment opportunities. ,,,,,,,,,,
,Data: Let's consider the daily closing prices (in dollars) of Company A and Company B for a sample of 20 trading days:,,,,,,,,,,
," Company A: 45, 47, 48, 50, 52, 53, 55, 56, 58, 60, 62, 64, 65, 67, 69, 70, 72, 74, 76, 77 ",,,,,,,,,,
,"Company B: 52, 54, 55, 57, 59, 60, 61, 62, 64, 66, 67, 69, 71, 73, 74, 76, 78, 80, 82, 83 ",,,,,,,,,,
,• Calculate the covariance and correlation between the stock prices of Company A and Company B. ,,,,,,,,,,
,Interpret the value of the covariance and explain the nature of the relationship between the two stocks.,,,,,,,,,,
,,,,,,,,,,,
Ans:,Company A,Company B,,,,,,,,,
,45,52,,,,,,,,,
,47,54,,,,,,,,,
,48,55,,,,,,,,,
,50,57,,,,,,,,,
,52,59,,,,,,,,,
,53,60,,,,,,,,,
,55,61,,,,,,,,,
,56,62,,,,,,,,,
,58,64,,,,,,,,,
,60,66,,,,,,,,,
,62,67,,,,,,,,,
,64,69,,,,,,,,,
,65,71,,,,,,,,,
,67,73,,,,,,,,,
,69,74,,,,,,,,,
,70,76,,,,,,,,,
,72,78,,,,,,,,,
,74,80,,,,,,,,,
,76,82,,,,,,,,,
,77,83,,,,,,,,,
,,,,,,,,,,,
,Covariance,,,,Corelation,,,,,,
,,Column 1,Column 2,,,Column 1,Column 2,,,,
,Column 1,96.8,,,Column 1,1,,,,,
,Column 2,92.65,88.9275,,Column 2,0.998595727,1,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Ans :,The Covariance = 92.65 ,,,,The Correlation = 0.999,,,,,,
,,,,,,,,,,,
Q3. :,You want to test if there is a significant difference between the means of these two groups ,,,,,,,,,,
,(at the 5% significance level).,,,,,,,,,,
,Group 1 scores : ,,85,88,92,87,90,,,,
,Group 2 scores :,,78,80,75,82,76,,,,
,,,,,,,,,,,
,H0,µ1 = µ2,,,,,t-Test: Two-Sample Assuming Equal Variances,,,,
,H1,µ1 ? µ2,,,,,,,,,
,,,,,,,,Variable 1,Variable 2,,
,ALPHA,0.05,,,,,Mean,88.4,78.2,,
,,,,,,,Variance,7.3,8.2,,
,,,,,,,Observations,5,5,,
,P VALUE,<,0.05,,,,Pooled Variance,7.75,,,
,0.000204,<,0.05,,,,Hypothesized Mean Difference,0,,,
,,,,,,,df,8,,,
,,,,,,,t Stat,5.793210709,,,
,CONCULATION : P-VALUE IS LESS THAN 0.05. ,,,,,,P(T<=t) one-tail,0.000204156,,,
,,SO WE REJECT UNLL HYPOTHISIS.,,,,,t Critical one-tail,1.859548038,,,
,,,,,,,P(T<=t) two-tail,0.000408312,,,
,,,,,,,t Critical two-tail,2.306004135,,,
